timestamp,house_id,current
2026-02-07T16:41:08.919796,1,2.29
2026-02-07T16:41:08.919796,2,1.19
2026-02-07T16:41:08.919796,3,2.04
2026-02-07T16:41:08.919796,4,2.92
2026-02-07T16:41:08.919796,5,0.61
2026-02-07T16:41:13.955333,1,1.76
2026-02-07T16:41:13.955333,2,1.8
2026-02-07T16:41:13.955333,3,2.98
2026-02-07T16:41:13.955333,4,1.76
2026-02-07T16:41:13.955333,5,1.7
2026-02-07T16:41:18.975755,1,1.71
2026-02-07T16:41:18.975755,2,2.91
2026-02-07T16:41:18.975755,3,1.05
2026-02-07T16:41:18.975755,4,0.51
2026-02-07T16:41:18.975755,5,2.2
2026-02-07T16:41:24.003679,1,5.19
2026-02-07T16:41:24.003679,2,1.86
2026-02-07T16:41:24.003679,3,4.42
2026-02-07T16:41:24.003679,4,2.56
2026-02-07T16:41:24.003679,5,2.87
2026-02-07T16:41:29.027993,1,2.57
2026-02-07T16:41:29.027993,2,1.55
2026-02-07T16:41:29.027993,3,0.83
2026-02-07T16:41:29.027993,4,0.73
2026-02-07T16:41:29.027993,5,4.38
2026-02-07T16:41:34.049469,1,2.97
2026-02-07T16:41:34.049469,2,0.58
2026-02-07T16:41:34.049469,3,2.69
2026-02-07T16:41:34.049469,4,0.85
2026-02-07T16:41:34.049469,5,2.65
2026-02-07T16:41:39.065249,1,0.68
2026-02-07T16:41:39.065249,2,0.84
2026-02-07T16:41:39.065249,3,1.04
2026-02-07T16:41:39.065249,4,1.62
2026-02-07T16:41:39.065249,5,0.6
2026-02-07T16:41:44.089182,1,2.1
2026-02-07T16:41:44.089182,2,1.76
2026-02-07T16:41:44.089182,3,6.1
2026-02-07T16:41:44.089182,4,1.58
2026-02-07T16:41:44.089182,5,2.77
2026-02-07T16:41:49.113343,1,0.6
2026-02-07T16:41:49.113343,2,1.65
2026-02-07T16:41:49.113343,3,1.21
2026-02-07T16:41:49.113343,4,2.05
2026-02-07T16:41:49.113343,5,2.43
2026-02-07T16:41:54.139671,1,1.59
2026-02-07T16:41:54.139671,2,2.6
2026-02-07T16:41:54.139671,3,1.46
2026-02-07T16:41:54.139671,4,2.55
2026-02-07T16:41:54.139671,5,2.56
2026-02-07T16:41:59.166136,1,1.18
2026-02-07T16:41:59.166136,2,2.99
2026-02-07T16:41:59.166136,3,0.72
2026-02-07T16:41:59.166136,4,1.07
2026-02-07T16:41:59.166136,5,2.2
2026-02-07T16:42:04.190011,1,0.66
2026-02-07T16:42:04.190011,2,1.84
2026-02-07T16:42:04.190011,3,2.43
2026-02-07T16:42:04.190011,4,2.63
2026-02-07T16:42:04.190011,5,0.63
2026-02-07T16:42:22.063556,1,0.96
2026-02-07T16:42:22.063556,2,1.2
2026-02-07T16:42:22.063556,3,1.39
2026-02-07T16:42:22.063556,4,2.8
2026-02-07T16:42:22.063556,5,6.9
2026-02-07T16:42:23.095782,1,1.21
2026-02-07T16:42:23.095782,2,2.71
2026-02-07T16:42:23.095782,3,0.94
2026-02-07T16:42:23.095782,4,2.28
2026-02-07T16:42:23.095782,5,1.4
2026-02-07T16:42:24.117734,1,1.04
2026-02-07T16:42:24.117734,2,1.71
2026-02-07T16:42:24.117734,3,1.81
2026-02-07T16:42:24.117734,4,2.22
2026-02-07T16:42:24.117734,5,1.4
2026-02-07T16:42:25.143839,1,2.35
2026-02-07T16:42:25.143839,2,2.62
2026-02-07T16:42:25.143839,3,1.69
